Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Michael Jordan\jordami01,34,21,872,28.1,.545,.082,.424,4.5,11.0,7.6,19.9,2.1,1.1,6.7,36.6,,3.6,1.2,4.8,.265,,8.0,1.0,9.0,2.4
2,Scottie Pippen\pippesc01,32,21,836,19.5,.500,.269,.456,7.0,15.7,11.1,23.6,3.1,1.9,12.6,23.0,,1.4,1.5,2.9,.166,,3.1,2.5,5.6,1.6
3,Dennis Rodman\rodmade01,36,21,722,10.8,.419,.038,.362,16.3,26.9,21.3,8.7,1.1,1.4,22.3,10.3,,0.2,1.2,1.5,.097,,-1.9,0.2,-1.7,0.1
4,Toni Kukoč\kukocto01,29,21,637,18.5,.561,.280,.284,4.5,11.6,7.9,17.5,2.3,1.3,9.9,20.4,,1.5,0.9,2.4,.182,,3.2,1.9,5.1,1.1
5,Ron Harper\harpero01,34,21,563,13.3,.507,.156,.320,4.6,12.7,8.5,14.1,2.0,2.6,11.5,13.3,,0.6,0.9,1.5,.126,,-0.1,2.4,2.3,0.6
6,Luc Longley\longllu01,29,18,456,12.3,.518,.000,.325,8.9,16.0,12.3,13.1,1.5,2.6,20.8,18.1,,0.2,0.7,0.9,.092,,-2.8,1.6,-1.2,0.1
7,Steve Kerr\kerrst01,32,21,415,11.3,.601,.539,.289,2.3,2.8,2.5,13.5,1.0,0.0,5.5,10.4,,1.0,0.3,1.3,.149,,0.9,0.2,1.1,0.3
8,Scott Burrell\burresc01,27,21,261,13.5,.514,.274,.151,5.0,16.0,10.2,6.6,4.2,0.9,12.4,16.2,,0.2,0.5,0.7,.132,,-1.7,2.8,1.1,0.2
9,Bill Wennington\wennibi01,34,16,119,10.4,.530,.000,.211,3.0,12.0,7.3,4.7,2.9,1.3,16.2,19.8,,0.0,0.2,0.2,.062,,-5.5,1.1,-4.5,-0.1
10,Dickey Simpkins\simpkdi01,25,13,74,6.6,.401,.000,.563,6.4,15.8,10.9,6.5,1.5,1.1,13.1,14.8,,-0.1,0.1,0.0,.028,,-5.4,-0.4,-5.8,-0.1
11,Randy Brown\brownra02,29,14,71,2.5,.307,.000,.500,5.0,11.0,7.9,18.7,1.6,0.0,32.3,14.5,,-0.2,0.1,-0.1,-0.076,,-6.8,-1.1,-7.8,-0.1
12,Jud Buechler\buechju01,29,16,64,10.8,.500,.455,.000,7.4,14.2,10.7,7.3,2.7,1.3,8.3,8.9,,0.1,0.1,0.2,.137,,-0.5,2.8,2.3,0.1
1,Michael Jordan\jordami01,33,19,804,27.1,.524,.135,.297,5.9,16.4,10.9,25.7,2.1,1.9,8.0,35.5,,2.5,1.5,3.9,.235,,8.1,1.7,9.9,2.4
2,Scottie Pippen\pippesc01,31,19,753,18.1,.526,.366,.278,5.4,15.0,10.0,17.3,2.1,2.2,13.7,24.9,,0.9,1.4,2.3,.145,,3.8,1.3,5.1,1.4
3,Dennis Rodman\rodmade01,35,19,535,7.9,.427,.198,.321,12.4,23.0,17.5,7.6,1.0,0.7,23.2,10.5,,-0.1,1.0,0.8,.074,,-3.0,0.1,-2.9,-0.1
4,Ron Harper\harpero01,33,19,515,15.7,.517,.488,.224,4.4,14.4,9.2,17.7,2.6,2.5,7.4,13.4,,1.0,1.0,2.0,.183,,2.0,3.8,5.8,1.0
5,Luc Longley\longllu01,28,19,432,12.3,.537,.000,.250,10.1,12.7,11.4,13.7,0.9,3.4,19.5,15.5,,0.2,0.7,0.9,.098,,-1.6,1.6,0.0,0.2
6,Toni Kukoč\kukocto01,28,19,423,14.6,.498,.424,.464,3.5,11.8,7.5,20.7,1.7,0.9,10.1,18.5,,0.7,0.6,1.3,.146,,2.4,0.6,3.0,0.5
7,Steve Kerr\kerrst01,31,19,341,11.8,.571,.545,.182,1.3,5.0,3.1,9.4,2.8,0.5,8.8,12.5,,0.5,0.5,1.0,.144,,0.0,2.0,2.0,0.3
8,Bison Dele\delebi01,27,19,336,13.8,.493,.000,.298,10.4,14.5,12.3,5.7,3.2,2.2,10.6,18.3,,0.2,0.7,0.9,.132,,-2.4,1.8,-0.7,0.1
9,Jason Caffey\caffeja01,23,17,167,12.5,.523,.000,.424,16.8,12.4,14.7,14.2,1.0,1.6,23.5,14.3,,0.2,0.2,0.4,.117,,-0.7,0.2,-0.5,0.1
10,Jud Buechler\buechju01,28,18,138,10.5,.497,.387,.161,7.3,12.4,9.7,5.8,1.2,0.7,2.9,11.6,,0.2,0.2,0.4,.135,,0.1,1.4,1.4,0.1
11,Randy Brown\brownra02,28,17,98,4.4,.326,.000,.167,3.4,8.7,6.0,9.7,4.6,1.9,11.0,17.2,,-0.2,0.2,0.0,.007,,-8.8,3.6,-5.2,-0.1
12,Robert Parish\parisro01,43,2,18,2.6,.143,.000,.000,12.5,13.5,13.0,0.0,0.0,15.2,0.0,18.2,,-0.1,0.0,0.0,-0.100,,-7.4,-2.1,-9.5,0.0
1,Scottie Pippen\pippesc01,30,18,742,19.4,.473,.366,.279,9.7,15.8,12.6,24.9,3.5,2.0,11.3,22.2,,1.3,1.7,3.0,.195,,4.8,3.0,7.8,1.8
2,Michael Jordan\jordami01,32,18,733,26.7,.564,.152,.459,4.9,10.2,7.4,21.2,2.5,0.7,7.9,32.9,,3.4,1.3,4.7,.306,,8.8,1.9,10.7,2.4
3,Dennis Rodman\rodmade01,34,18,620,14.1,.523,.000,.573,18.3,30.9,24.3,9.2,1.2,1.2,24.1,12.4,,0.5,1.4,1.9,.149,,-0.3,0.9,0.7,0.4
4,Ron Harper\harpero01,32,18,494,14.8,.518,.351,.313,6.1,10.7,8.3,14.8,2.8,1.3,10.6,15.7,,0.8,1.0,1.8,.174,,1.2,3.0,4.2,0.8
5,Toni Kukoč\kukocto01,27,15,439,14.1,.484,.450,.245,5.0,12.9,8.7,22.2,1.8,0.8,13.5,20.0,,0.5,0.8,1.3,.140,,1.6,0.8,2.4,0.5
6,Luc Longley\longllu01,27,18,439,11.1,.513,.000,.285,9.0,14.1,11.4,10.8,0.9,5.2,20.6,19.0,,0.0,0.8,0.8,.091,,-4.3,2.2,-2.1,0.0
7,Steve Kerr\kerrst01,30,18,357,13.7,.606,.609,.356,1.0,5.4,3.1,14.0,2.2,0.0,11.4,14.4,,0.8,0.5,1.4,.184,,1.5,1.5,3.0,0.5
8,Bill Wennington\wennibi01,32,18,169,11.7,.522,.020,.080,7.5,14.5,10.8,9.2,1.3,0.5,8.8,15.2,,0.2,0.3,0.5,.145,,-2.3,1.4,-0.9,0.0
9,Jud Buechler\buechju01,27,17,127,11.4,.578,.553,.105,1.8,8.1,4.8,8.0,3.0,0.0,16.8,17.1,,0.1,0.2,0.3,.116,,-0.4,1.9,1.4,0.1
10,Randy Brown\brownra02,27,16,112,14.2,.661,.214,.429,3.1,8.0,5.4,10.6,2.5,0.8,17.4,16.3,,0.2,0.2,0.4,.180,,-1.0,3.8,2.8,0.1
11,John Salley\sallejo01,31,16,85,3.9,.497,.000,.636,5.5,10.6,7.9,10.7,0.7,2.2,22.1,9.6,,0.0,0.1,0.1,.069,,-7.4,2.8,-4.5,-0.1
12,James Edwards\edwarja01,40,6,28,4.8,.511,.000,.444,0.0,18.4,8.7,0.0,0.0,0.0,8.5,19.1,,0.0,0.0,0.1,.103,,-10.1,0.3,-9.8,-0.1

