Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PM
1,1,10/23/2019,23-095,PHI,,BOS,W (+14),1,34:59:00,11,16,0.688,0,0,,2,5,0.4,2,6,8,9,0,0,4,4,24,19.9,15
2,2,10/26/2019,23-098,PHI,@,DET,W (+6),1,35:14:00,5,13,0.385,0,0,,3,7,0.429,0,4,4,10,7,0,5,4,13,12.9,7
3,3,10/28/2019,23-100,PHI,@,ATL,W (+2),1,37:49:00,6,11,0.545,0,0,,1,2,0.5,1,5,6,6,1,1,4,4,13,9.8,-4
4,4,10/30/2019,23-102,PHI,,MIN,W (+22),1,32:43:00,7,13,0.538,0,0,,2,4,0.5,1,2,3,7,3,2,6,3,16,12.3,19
5,5,11/2/2019,23-105,PHI,@,POR,W (+1),1,36:26:00,7,16,0.438,0,0,,4,5,0.8,2,9,11,8,2,0,3,3,18,16.7,-10
6,6,11/4/2019,23-107,PHI,@,PHO,L (-5),1,35:37:00,2,8,0.25,0,0,,2,2,1,0,5,5,6,7,0,4,3,6,8.7,-2
7,7,11/6/2019,23-109,PHI,@,UTA,L (-2),1,10:05,1,2,0.5,0,0,,0,0,,0,1,1,2,1,0,0,0,2,3.7,-7
8,,11/8/2019,23-111,PHI,@,DEN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,11/10/2019,23-113,PHI,,CHO,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,8,11/12/2019,23-115,PHI,,CLE,W (+1),1,34:59:00,7,9,0.778,0,0,,1,3,0.333,1,4,5,6,2,2,4,3,15,15,4
11,9,11/13/2019,23-116,PHI,@,ORL,L (-15),1,35:17:00,9,12,0.75,0,0,,0,0,,2,6,8,5,0,0,2,4,18,16.3,-12
12,10,11/15/2019,23-118,PHI,@,OKC,L (-8),1,45:33:00,6,8,0.75,0,0,,4,6,0.667,7,4,11,8,1,0,5,6,16,17.3,-1
13,11,11/17/2019,23-120,PHI,@,CLE,W (+19),1,25:50:00,5,8,0.625,0,0,,0,0,,0,4,4,11,1,2,3,4,10,13.1,14
