Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Michael Jordan\jordami01,34,21,21,41.5,11.6,25.0,.462,0.6,2.0,.302,11.0,23.0,.476,.474,8.6,10.6,.812,1.6,3.5,5.1,3.5,1.5,0.6,2.1,2.2,32.4
2,Scottie Pippen\pippesc01,32,21,21,39.8,5.8,14.0,.415,0.9,3.8,.228,5.0,10.2,.484,.446,4.3,6.4,.679,2.3,4.8,7.1,5.2,2.1,1.0,2.4,3.1,16.8
3,Dennis Rodman\rodmade01,36,21,9,34.4,1.9,5.0,.371,0.0,0.2,.250,1.8,4.8,.376,.376,1.1,1.8,.605,4.7,7.1,11.8,2.0,0.7,0.6,1.7,4.2,4.9
4,Toni Kukoč\kukocto01,29,21,17,30.3,5.0,10.4,.486,1.1,2.9,.377,4.0,7.5,.529,.539,1.9,3.0,.645,1.1,2.7,3.9,2.9,1.2,0.5,1.3,2.7,13.1
5,Ron Harper\harpero01,34,21,21,26.8,2.7,5.8,.459,0.2,0.9,.263,2.4,4.9,.495,.480,1.1,1.9,.615,1.0,2.6,3.7,2.3,1.0,0.9,0.9,2.0,6.7
6,Luc Longley\longllu01,29,18,16,25.3,3.0,6.7,.450,0.0,0.0,,3.0,6.7,.450,.450,1.9,2.2,.872,1.9,3.1,5.0,1.9,0.7,0.8,2.0,4.1,7.9
7,Steve Kerr\kerrst01,32,21,0,19.8,1.6,3.6,.434,0.9,2.0,.463,0.7,1.7,.400,.559,0.9,1.0,.818,0.4,0.4,0.8,1.7,0.3,0.0,0.2,1.2,4.9
8,Scott Burrell\burresc01,27,21,0,12.4,1.5,3.5,.438,0.3,1.0,.300,1.2,2.5,.491,.479,0.5,0.5,.909,0.5,1.5,2.0,0.5,0.9,0.1,0.5,1.6,3.8
9,Bill Wennington\wennibi01,34,16,0,7.4,1.3,2.4,.526,0.0,0.0,,1.3,2.4,.526,.526,0.3,0.5,.500,0.2,0.7,0.9,0.2,0.4,0.1,0.5,1.4,2.8
10,Dickey Simpkins\simpkdi01,25,13,0,5.7,0.5,1.2,.375,0.0,0.0,,0.5,1.2,.375,.375,0.3,0.7,.444,0.3,0.7,1.0,0.2,0.2,0.1,0.2,0.8,1.2
11,Randy Brown\brownra02,29,14,0,5.1,0.1,0.9,.167,0.0,0.0,,0.1,0.9,.167,.167,0.4,0.4,.833,0.2,0.4,0.6,0.6,0.1,0.0,0.5,0.4,0.6
12,Jud Buechler\buechju01,29,16,0,4.0,0.3,0.7,.364,0.2,0.3,.600,0.1,0.4,.167,.500,0.0,0.0,,0.3,0.4,0.7,0.2,0.2,0.1,0.1,0.4,0.7
1,Michael Jordan\jordami01,33,19,19,42.3,11.9,26.2,.456,0.7,3.5,.194,11.3,22.7,.497,.469,6.5,7.8,.831,2.2,5.7,7.9,4.8,1.6,0.9,2.6,2.4,31.1
2,Scottie Pippen\pippesc01,31,19,19,39.6,6.8,16.3,.417,2.1,5.9,.345,4.7,10.3,.459,.481,3.6,4.5,.791,1.9,4.9,6.8,3.8,1.5,0.9,2.9,2.6,19.2
3,Dennis Rodman\rodmade01,35,19,14,28.2,1.6,4.3,.370,0.2,0.8,.250,1.4,3.4,.400,.395,0.8,1.4,.577,3.1,5.3,8.4,1.4,0.5,0.2,1.5,3.9,4.2
4,Ron Harper\harpero01,33,19,19,27.1,2.6,6.6,.400,1.1,3.2,.344,1.5,3.4,.453,.484,1.1,1.5,.750,1.1,3.2,4.3,3.0,1.3,0.7,0.6,2.3,7.5
5,Luc Longley\longllu01,28,19,19,22.7,3.0,5.5,.548,0.0,0.0,,3.0,5.5,.548,.548,0.5,1.4,.385,2.1,2.4,4.4,1.8,0.4,0.8,1.5,3.4,6.5
6,Toni Kukoč\kukocto01,28,19,0,22.3,2.4,6.6,.360,1.0,2.8,.358,1.4,3.8,.361,.436,2.2,3.1,.707,0.7,2.2,2.8,2.8,0.7,0.2,0.9,1.6,7.9
7,Steve Kerr\kerrst01,31,19,0,17.9,1.7,4.1,.429,0.8,2.2,.381,0.9,1.8,.486,.532,0.7,0.7,.929,0.2,0.7,0.9,1.1,0.9,0.1,0.4,1.3,5.0
8,Bison Dele\delebi01,27,19,0,17.7,2.6,5.5,.481,0.0,0.0,,2.6,5.5,.481,.481,0.8,1.6,.516,1.6,2.1,3.7,0.6,1.0,0.4,0.7,3.3,6.1
9,Jason Caffey\caffeja01,23,17,5,9.8,0.9,1.9,.455,0.0,0.0,,0.9,1.9,.455,.455,0.6,0.8,.786,1.5,1.0,2.5,0.9,0.2,0.2,0.7,1.6,2.4
10,Robert Parish\parisro01,43,2,0,9.0,0.5,3.5,.143,0.0,0.0,,0.5,3.5,.143,.143,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.5,0.0,1.0,1.0
11,Jud Buechler\buechju01,28,18,0,7.7,0.7,1.7,.419,0.2,0.7,.333,0.5,1.1,.474,.484,0.2,0.3,.600,0.5,0.8,1.3,0.3,0.2,0.1,0.1,0.8,1.8
12,Randy Brown\brownra02,28,17,0,5.8,0.5,1.8,.300,0.0,0.0,,0.5,1.8,.300,.300,0.2,0.3,.600,0.2,0.4,0.6,0.4,0.5,0.1,0.2,1.3,1.2
1,Scottie Pippen\pippesc01,30,18,18,41.2,6.2,15.9,.390,1.7,5.8,.286,4.6,10.1,.451,.443,2.8,4.4,.638,3.4,5.1,8.5,5.9,2.6,0.9,2.3,2.8,16.9
2,Michael Jordan\jordami01,32,18,18,40.7,10.4,22.6,.459,1.4,3.4,.403,9.0,19.2,.470,.490,8.5,10.4,.818,1.7,3.2,4.9,4.1,1.8,0.3,2.3,2.7,30.7
3,Dennis Rodman\rodmade01,34,18,15,34.4,2.8,5.7,.485,0.0,0.0,,2.8,5.7,.485,.485,1.9,3.3,.593,5.4,8.3,13.7,2.1,0.8,0.4,2.3,4.2,7.5
4,Toni Kukoč\kukocto01,27,15,5,29.3,3.9,10.1,.391,0.9,4.5,.191,3.1,5.5,.554,.434,2.1,2.5,.838,1.3,2.9,4.2,3.9,0.9,0.3,1.7,2.2,10.8
5,Ron Harper\harpero01,32,18,16,27.4,3.2,7.4,.425,0.8,2.6,.319,2.3,4.8,.483,.481,1.6,2.3,.690,1.4,2.3,3.7,2.5,1.4,0.4,1.0,2.1,8.8
6,Luc Longley\longllu01,27,18,18,24.4,3.4,7.2,.469,0.0,0.0,,3.4,7.2,.469,.469,1.6,2.1,.757,1.9,2.7,4.6,1.6,0.4,1.4,2.1,4.6,8.3
7,Steve Kerr\kerrst01,30,18,0,19.8,2.2,4.8,.448,0.9,2.9,.321,1.2,1.9,.647,.546,1.5,1.7,.871,0.2,0.8,1.0,1.7,0.8,0.0,0.7,1.2,6.8
8,Bill Wennington\wennibi01,32,18,0,9.4,1.4,2.8,.520,0.0,0.1,.000,1.4,2.7,.531,.520,0.1,0.2,.500,0.6,1.1,1.7,0.5,0.2,0.1,0.3,1.7,3.0
9,Jud Buechler\buechju01,27,17,0,7.5,1.1,2.2,.474,0.5,1.2,.381,0.6,1.0,.588,.579,0.1,0.2,.500,0.1,0.5,0.6,0.4,0.4,0.0,0.5,0.8,2.7
10,Randy Brown\brownra02,27,16,0,7.0,1.0,1.8,.571,0.2,0.4,.500,0.8,1.4,.591,.625,0.6,0.8,.750,0.2,0.4,0.6,0.4,0.3,0.1,0.4,1.1,2.8
11,John Salley\sallejo01,31,16,0,5.3,0.4,0.7,.545,0.0,0.0,,0.4,0.7,.545,.545,0.1,0.4,.286,0.3,0.4,0.7,0.4,0.1,0.1,0.3,1.6,0.9
12,James Edwards\edwarja01,40,6,0,4.7,0.7,1.5,.444,0.0,0.0,,0.7,1.5,.444,.444,0.5,0.7,.750,0.0,0.7,0.7,0.0,0.0,0.0,0.2,1.7,1.8
