Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PM
1,1,10/23/2019,25-221,PHI,,BOS,W (+14),1,23:15,5,14,0.357,1,4,0.25,4,8,0.5,4,9,13,3,0,3,0,5,15,13.3,16
2,,10/26/2019,25-224,PHI,@,DET,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2,10/28/2019,25-226,PHI,@,ATL,W (+2),1,32:43:00,12,19,0.632,2,6,0.333,10,10,1,3,10,13,5,3,1,7,5,36,30.8,9
4,3,10/30/2019,25-228,PHI,,MIN,W (+22),1,20:02,7,14,0.5,1,1,1,4,4,1,1,4,5,2,1,1,1,2,19,15.2,7
5,,11/2/2019,25-231,PHI,@,POR,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,11/4/2019,25-233,PHI,@,PHO,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,4,11/6/2019,25-235,PHI,@,UTA,L (-2),1,35:50:00,5,16,0.313,1,5,0.2,16,18,0.889,4,12,16,3,0,2,3,5,27,21.9,7
8,5,11/8/2019,25-237,PHI,@,DEN,L (-3),1,28:30:00,6,17,0.353,2,4,0.5,5,7,0.714,5,10,15,2,0,1,8,6,19,6.9,-10
9,6,11/10/2019,25-239,PHI,,CHO,W (+8),1,25:48:00,6,10,0.6,0,1,0,6,7,0.857,2,7,9,3,2,2,2,2,18,19.2,11
10,7,11/12/2019,25-241,PHI,,CLE,W (+1),1,35:05:00,10,20,0.5,3,5,0.6,4,5,0.8,2,14,16,4,1,2,2,2,27,24.6,1
11,,11/13/2019,25-242,PHI,@,ORL,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,8,11/15/2019,25-244,PHI,@,OKC,L (-8),1,37:38:00,12,24,0.5,4,8,0.5,3,6,0.5,2,10,12,2,1,0,1,4,31,22,-10
13,9,11/17/2019,25-246,PHI,@,CLE,W (+19),1,22:31,6,13,0.462,0,2,0,2,2,1,1,3,4,2,1,1,2,3,14,8.8,14
14,10,11/20/2019,25-249,PHI,,NYK,W (+5),1,33:39:00,7,19,0.368,1,7,0.143,8,12,0.667,2,10,12,5,0,1,3,3,23,15.3,10
15,11,11/22/2019,25-251,PHI,,SAS,W (+11),1,27:36:00,9,13,0.692,0,2,0,3,4,0.75,3,11,14,3,1,1,4,4,21,18.7,13
16,12,11/23/2019,25-252,PHI,,MIA,W (+27),1,25:43:00,8,15,0.533,2,3,0.667,5,5,1,3,8,11,2,2,2,2,2,23,22.2,28
17,13,11/25/2019,25-254,PHI,@,TOR,L (-5),1,31:57:00,0,11,0,0,4,0,0,3,0,3,10,13,2,0,0,4,5,0,-8.4,-9
18,14,11/27/2019,25-256,PHI,,SAC,W (+6),1,32:19:00,10,19,0.526,1,4,0.25,12,14,0.857,4,12,16,1,0,2,3,0,33,28.4,5
19,15,11/29/2019,25-258,PHI,@,NYK,W (+6),1,35:27:00,7,19,0.368,0,4,0,13,15,0.867,3,14,17,2,0,3,3,4,27,20.9,12
20,16,11/30/2019,25-259,PHI,,IND,W (+3),1,33:16:00,8,15,0.533,1,2,0.5,15,15,1,1,10,11,4,3,1,2,3,32,31.7,8
21,17,12/2/2019,25-261,PHI,,UTA,W (+9),1,29:54:00,5,13,0.385,1,2,0.5,5,6,0.833,1,10,11,4,1,1,2,5,16,12.7,-1
22,18,12/5/2019,25-264,PHI,@,WAS,L (-6),1,35:10:00,7,12,0.583,1,2,0.5,11,14,0.786,3,18,21,1,0,1,8,4,26,18.5,1
23,,12/7/2019,25-266,PHI,,CLE,W (+47),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,19,12/8/2019,25-267,PHI,,TOR,W (+6),1,30:29:00,3,7,0.429,0,1,0,4,6,0.667,1,7,8,6,1,1,7,2,10,6.4,-4
25,20,12/10/2019,25-269,PHI,,DEN,W (+5),1,31:06:00,8,18,0.444,0,3,0,6,7,0.857,2,8,10,6,2,1,4,3,22,17.7,-8
26,21,12/12/2019,25-271,PHI,@,BOS,W (+6),1,36:05:00,12,21,0.571,2,3,0.667,12,14,0.857,2,11,13,6,0,1,2,3,38,33.7,21
27,22,12/13/2019,25-272,PHI,,NOP,W (+7),1,31:03:00,6,16,0.375,1,3,0.333,11,14,0.786,1,10,11,5,1,1,2,5,24,18.9,3
28,,12/15/2019,25-274,PHI,@,BRK,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,23,12/18/2019,25-277,PHI,,MIA,L (-4),1,35:20:00,8,19,0.421,1,5,0.2,5,5,1,8,11,19,3,1,2,1,2,22,23.5,-11
30,24,12/20/2019,25-279,PHI,,DAL,L (-19),1,32:57:00,12,24,0.5,3,7,0.429,6,6,1,2,15,17,2,1,1,1,3,33,27.8,5
