Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PM
1,1,10/24/2019,24-322,MIL,@,HOU,W (+6),1,28:10:00,11,17,0.647,2,5,0.4,6,11,0.545,0,13,13,11,1,1,3,6,30,28.4,8
2,2,10/26/2019,24-324,MIL,,MIA,L (-5),1,36:38:00,12,21,0.571,0,5,0,5,9,0.556,3,14,17,9,3,2,8,6,29,24.1,0
3,3,10/28/2019,24-326,MIL,,CLE,W (+17),1,29:12:00,5,15,0.333,0,2,0,4,8,0.5,1,9,10,7,0,2,2,2,14,10.8,10
4,4,10/30/2019,24-328,MIL,@,BOS,L (-11),1,34:38:00,8,13,0.615,0,2,0,6,10,0.6,1,13,14,5,1,2,3,4,22,20.4,-4
5,5,11/1/2019,24-330,MIL,@,ORL,W (+32),1,30:16:00,10,16,0.625,1,4,0.25,8,11,0.727,2,12,14,6,2,0,7,4,29,23.2,19
6,6,11/2/2019,24-331,MIL,,TOR,W (+10),1,36:26:00,14,20,0.7,1,2,0.5,7,10,0.7,2,13,15,8,1,4,3,3,36,36.9,9
7,7,11/4/2019,24-333,MIL,@,MIN,W (+28),1,26:42:00,14,19,0.737,0,3,0,6,11,0.545,4,11,15,6,0,0,3,4,34,30,28
8,8,11/6/2019,24-335,MIL,@,LAC,W (+5),1,35:43:00,10,21,0.476,4,7,0.571,14,18,0.778,4,12,16,9,2,2,3,4,38,37.2,13
9,9,11/8/2019,24-337,MIL,@,UTA,L (-3),1,36:26:00,10,22,0.455,2,6,0.333,8,13,0.615,4,9,13,4,2,2,5,6,30,20.9,-6
10,10,11/10/2019,24-339,MIL,@,OKC,W (+2),1,36:25:00,13,19,0.684,2,3,0.667,7,9,0.778,2,14,16,3,1,1,7,3,35,27.3,15
11,11,11/14/2019,24-343,MIL,,CHI,W (+9),1,35:50:00,13,24,0.542,1,5,0.2,11,20,0.55,5,11,16,4,3,1,5,4,38,29.5,-4
12,12,11/16/2019,24-345,MIL,@,IND,W (+19),1,28:24:00,10,17,0.588,3,6,0.5,3,5,0.6,3,10,13,6,1,1,5,1,26,22.9,19
13,13,11/18/2019,24-347,MIL,@,CHI,W (+14),1,33:44:00,13,22,0.591,2,6,0.333,5,12,0.417,2,8,10,2,3,1,8,5,33,18.9,12
14,14,11/20/2019,24-349,MIL,@,ATL,W (+8),1,30:08:00,12,17,0.706,1,6,0.167,8,13,0.615,0,11,11,4,0,1,4,2,33,25.9,17
15,15,11/21/2019,24-350,MIL,,POR,W (+8),1,35:49:00,9,27,0.333,1,7,0.143,5,10,0.5,4,15,19,15,3,1,5,2,24,22.4,5
16,16,11/23/2019,24-352,MIL,,DET,W (+14),1,27:12:00,12,22,0.545,1,3,0.333,3,9,0.333,3,7,10,3,2,1,2,3,28,20.8,18
