Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/24/2019,30-059,HOU,,MIL,L (-6),1,36:26:00,2,13,0.154,1,8,0.125,14,14,1,2,5,7,14,1,1,7,5,19,16.1,-3
2,2,10/26/2019,30-061,HOU,,NOP,W (+3),1,36:05:00,8,29,0.276,2,18,0.111,11,12,0.917,0,4,4,5,1,0,8,3,29,8,7
3,3,10/28/2019,30-063,HOU,,OKC,W (+4),1,36:52:00,8,21,0.381,3,14,0.214,21,22,0.955,0,3,3,7,1,1,4,5,40,29.6,-4
4,4,10/30/2019,30-065,HOU,@,WAS,W (+1),1,37:30:00,18,32,0.563,6,14,0.429,17,18,0.944,1,2,3,9,1,0,4,3,59,46.8,6
5,5,11/1/2019,30-067,HOU,@,BRK,L (-7),1,36:39:00,10,31,0.323,2,16,0.125,14,15,0.933,2,3,5,8,0,0,5,3,36,19.6,-14
6,6,11/3/2019,30-069,HOU,@,MIA,L (-29),1,26:26:00,6,14,0.429,3,9,0.333,14,14,1,1,3,4,3,1,0,6,4,29,18.7,-17
7,7,11/4/2019,30-070,HOU,@,MEM,W (+7),1,37:15:00,12,28,0.429,7,16,0.438,13,18,0.722,4,6,10,6,2,1,7,2,44,30.9,10
8,8,11/6/2019,30-072,HOU,,GSW,W (+17),1,35:18:00,10,23,0.435,6,16,0.375,10,13,0.769,0,4,4,13,3,3,5,1,36,32.7,20
9,9,11/9/2019,30-075,HOU,@,CHI,W (+23),1,35:48:00,12,27,0.444,9,19,0.474,9,11,0.818,1,9,10,9,2,0,6,1,42,32.4,36
10,10,11/11/2019,30-077,HOU,@,NOP,W (+6),1,38:16:00,13,25,0.52,3,11,0.273,10,14,0.714,0,4,4,9,2,1,6,4,39,27.7,-4
11,11,11/13/2019,30-079,HOU,,LAC,W (+9),1,44:27:00,12,26,0.462,7,13,0.538,16,17,0.941,0,6,6,7,3,0,6,0,47,36.9,10
12,12,11/15/2019,30-081,HOU,,IND,W (+9),1,40:27:00,13,26,0.5,6,14,0.429,12,14,0.857,0,8,8,5,4,0,3,4,44,35.5,18
13,13,11/16/2019,30-082,HOU,@,MIN,W (+20),1,38:41:00,16,41,0.39,8,22,0.364,9,11,0.818,1,5,6,6,0,0,5,4,49,25.7,16
14,14,11/18/2019,30-084,HOU,,POR,W (+24),1,33:06:00,11,19,0.579,5,10,0.5,9,10,0.9,1,5,6,5,1,1,3,4,36,29.5,27
15,15,11/20/2019,30-086,HOU,@,DEN,L (-10),1,37:06:00,8,16,0.5,4,8,0.5,7,10,0.7,1,6,7,7,3,0,8,4,27,18.6,-17
16,16,11/22/2019,30-088,HOU,@,LAC,L (-3),1,42:20:00,9,16,0.563,5,11,0.455,14,18,0.778,0,8,8,12,2,0,4,4,37,35,6
17,17,11/24/2019,30-090,HOU,,DAL,L (-14),1,41:17:00,11,24,0.458,2,15,0.133,8,10,0.8,1,8,9,11,1,0,6,5,32,22.6,-12
18,18,11/27/2019,30-093,HOU,,MIA,W (+9),1,35:15:00,9,23,0.391,7,17,0.412,9,10,0.9,2,4,6,5,1,1,2,0,34,26.9,11
19,19,11/30/2019,30-096,HOU,,ATL,W (+47),1,30:41:00,16,24,0.667,8,14,0.571,20,23,0.87,0,3,3,8,3,1,5,3,60,52.4,50
20,20,12/3/2019,30-099,HOU,@,SAS,L (-2),1,48:31:00,11,37,0.297,4,20,0.2,24,24,1,3,6,9,6,4,0,5,4,50,34,-3
