team,path
ATL,logos/ATL.png
BRK,logos/BKL.png
BOS,logos/BOS.png
CHO,logos/CHA.png
CHI,logos/CHI.png
CLE,logos/CLE.png
DAL,logos/DAL.png
DEN,logos/DEN.png
DET,logos/DET.png
GSW,logos/GSW.png
HOU,logos/HOU.png
IND,logos/IND.png
LAC,logos/LAC.png
LAL,logos/LAL.png
MEM,logos/MEM.png
MIA,logos/MIA.png
MIL,logos/MIL.png
MIN,logos/MIN.png
NOP,logos/NOP.png
NYK,logos/NYK.png
OKC,logos/OKC.png
ORL,logos/ORL.png
PHI,logos/PHI.png
PHO,logos/PHX.png
POR,logos/POR.png
SAC,logos/SAC.png
SAS,logos/SAS.png
TOR,logos/TOR.png
UTA,logos/UTA.png
WAS,logos/WAS.png
